Platform,Type,Owned,ForSale,Wishlist,Title,Publisher,Developer,DateAdded,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Beat,PlayedCompletion,Notes
"PC","VideoGame",1,0,0,"FIFA 12","Electronic Arts","Electronic Arts","11/16/2021","CIB","-1.0", "-1.0", "-1.0", "-1.0","-1.0",6,6,6,Yes,100%,""
"PC","VideoGame",1,0,0,"StarCraft II: Legacy of the Void","Blizzard Entertainment","Blizzard","11/16/2021","CIB","36,61","50,13","69,92","50,13","-1.0",6,6,6,Yes,100%,""
"PSP","VideoGame",1,0,0,"Class of Heroes","Atlus Co., Ltd.","Zerodiv","02/27/2023","Sealed","75,9","103,8","178,18","178,18","300",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Crisis Core: Final Fantasy VII","Square Enix","Square Enix","11/16/2021","Sealed","78,38","93,16","458,23","458,23","102",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Digimon Adventure","Bandai Namco Entertainment","Prope","11/16/2021","CIB","-1.0", "-1.0", "-1.0", "-1.0","193",10,10,10,Yes,75%,""
"PSP","VideoGame",1,0,0,"Digimon World Re:Digitize","Bandai Namco Entertainment","Tri-crescendo","11/16/2021","Sealed","75,7","86,03","172,15","172,15","106",?,10,?,Yes,64%,""
"PSP","VideoGame",1,0,0,"Disgaea 2: Dark Hero Days","Nippon Ichi Software Inc.","NIS","03/22/2023","CIB","103,19","167,6","275,24","167,6","176,25",9,9,9,No, 0%,""
"PSP","VideoGame",1,0,0,"Dissidia 012: Duodecim Final Fantasy","Square Enix","Square Enix","11/16/2021","Sealed","75,9","85,57","170,63","170,63","95",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Dragon Ball Z: Shin Budokai","Bandai Co., Ltd.","Dimps Corporation","01/12/2022","Sealed","-1.0", "-1.0", "-1.0", "-1.0","63",8,8,8,No, 0%,""
"PSP","VideoGame",1,0,0,"Dungeon Siege: Throne of Agony","Take-Two Interactive Software, Inc.","SuperVillain Studios","01/12/2022","CIB","28,66","38,03","88,46","38,03","28",10,10,10,No, 0%,""
"PSP","VideoGame",1,0,0,"Field Commander","Sony Online Entertainment","Sony Online Entertainment","09/19/2022","Sealed","30,33","38,89","101,01","101,01","90",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Final Fantasy","Square Enix","Tose Co., Ltd.","02/02/2022","Sealed","74,84","101,22","229,22","229,22","175",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Final Fantasy II","Square Enix","Tose Co., Ltd.","08/16/2022","Sealed","81,72","120,76","163,04","163,04","230",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Final Fantasy IV: The Complete Collection","Square Enix","Square Enix","11/16/2021","Sealed","141,22","187,34","246,73","246,73","80",?,?,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Final Fantasy Tactics: The War of the Lions [Greatest Hits]","null","Square Enix","11/16/2021","Sealed","75,9","101,11","202,48","202,48","60",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Ghostbusters: The Video Game","Sony Computer Entertainment","Red Fly Studio","11/16/2021","Sealed","61,82","72,15","118,23","118,23","20",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"God of War: Chains of Olympus","Sony Computer Entertainment","Ready at Dawn","11/16/2021","Loose","106,43","128,35","227,85","106,43","21",8,?,?,Yes,67%,""
"PSP","VideoGame",1,0,0,"God of War: Ghost of Sparta","Sony Computer Entertainment","Ready at Dawn","11/16/2021","Loose","193,77","295,65","532,41","193,77","21",8,?,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Grand Theft Auto: Liberty City Stories","Rockstar Games","Rockstar Leeds","07/27/2022","Boxed","81,72","122,68","258,73","110,73","62",9,8,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Grand Theft Auto: Vice City Stories","Rockstar Games","Rockstar Leeds","07/27/2022","CIB","126,53","173,57","278,84","173,57","62",9,8,8,No, 0%,""
"PSP","VideoGame",1,0,0,"Gundam Battle Royale","Bandai Co., Ltd.","BEC Co., Ltd.","11/16/2021","CIB","65,82","69,82","98,73","69,82","30",8,6,8,No, 0%,""
"PSP","VideoGame",1,0,0,"Half-Minute Hero","XSEED Games","Opus Studio","09/19/2022","Sealed","80,61","104,25","133,42","133,42","120",?,10,?,No, 0%,""
"PSP","VideoGame",1,0,0,"Kingdom Hearts: Birth by Sleep","Square Enix","Square Enix","01/28/2022","CIB","62,03","88,71","164,41","88,71","100",8,8,10,No, 0%,""
